Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-05-16,Breakfast,227.5,3.4,0.1,0.1,0.1,0.0,0.0,2.0,55.0,54.0,0.6,3.1,10.2,0.0,0.0,0.0,2.0
2015-05-16,Snacks,160.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,43.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
2015-05-17,Lunch,925.0,29.0,3.0,0.0,0.0,0.0,90.0,1850.0,0.0,127.0,10.0,46.0,46.0,15.0,40.0,60.0,40.0
2015-05-17,Dinner,628.3,18.2,8.6,0.6,3.2,0.1,81.2,1638.3,1448.8,87.4,2.8,53.6,30.1,38.9,32.6,39.8,39.7
2015-05-17,Breakfast,162.5,7.5,2.3,0.0,0.0,0.0,0.0,242.5,0.0,29.0,1.0,4.5,10.0,0.0,0.0,2.0,6.0
2015-05-18,Breakfast,22.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
2015-05-18,Lunch,759.7,19.5,9.0,1.0,3.7,0.1,105.0,1982.2,1434.0,94.0,2.9,19.6,48.8,31.1,26.1,31.8,43.7
2015-05-18,Dinner,977.0,21.8,7.8,3.0,1.0,0.0,25.0,230.3,95.0,39.4,3.0,5.8,5.0,0.0,0.0,6.0,6.0
2015-05-19,Breakfast,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0
2015-05-19,Dinner,573.6,8.0,1.8,0.0,0.0,0.0,12.0,394.0,0.0,22.6,2.4,8.0,14.0,0.0,0.0,9.8,0.0
2015-05-19,Lunch,1405.0,44.8,10.1,0.1,6.1,0.0,187.0,1954.0,595.0,147.5,13.2,16.1,69.7,4.0,52.0,6.0,30.0
2015-05-20,Dinner,544.0,21.0,9.0,3.0,4.5,0.0,122.0,835.5,105.0,68.0,2.5,5.5,20.0,0.0,0.0,0.0,0.0
2015-05-20,Breakfast,617.5,30.6,5.8,0.0,6.0,0.0,133.8,1023.0,540.0,44.0,3.8,16.2,33.2,1.2,15.6,1.8,8.4
2015-05-20,Lunch,495.0,8.8,0.1,0.1,0.1,0.0,21.0,392.0,55.0,77.5,5.2,0.1,25.7,0.0,0.0,0.0,2.0
2015-05-20,Snacks,170.0,13.0,3.5,0.0,0.0,0.0,7.5,95.0,0.0,20.7,1.5,17.8,4.5,0.0,2.0,2.0,1.0
2015-05-21,Breakfast,595.0,9.8,0.1,0.1,0.1,0.0,21.0,542.0,55.0,97.5,6.2,3.1,28.7,0.0,0.0,2.0,8.0
2015-05-21,Snacks,487.5,18.3,6.4,0.7,2.0,0.0,214.5,212.0,63.0,75.1,1.5,68.6,10.8,5.9,2.0,4.5,4.3
2015-05-21,Dinner,574.7,20.7,6.3,5.1,5.7,0.0,0.0,1106.2,218.0,71.5,3.5,5.6,21.4,73.4,7.0,19.4,22.1
2015-05-22,Snacks,80.0,8.0,1.7,0.0,0.0,0.0,5.0,85.0,0.0,10.2,1.0,8.8,3.0,0.0,0.0,2.0,0.0
2015-05-22,Dinner,863.6,34.1,15.3,5.1,5.6,0.0,60.0,2455.9,206.9,77.6,3.3,17.6,56.6,85.4,7.0,43.1,26.0
2015-05-22,Breakfast,122.5,5.6,1.6,0.0,0.0,0.0,40.0,88.8,80.0,13.5,0.0,7.0,21.5,2.5,1.0,12.5,0.0
2015-05-22,Lunch,1040.0,31.6,12.4,2.8,0.0,0.0,156.0,2022.0,1514.4,142.4,5.4,60.2,47.2,25.3,69.7,33.8,57.8
2015-05-23,Dinner,440.0,20.0,7.0,0.0,0.0,0.0,50.0,970.0,0.0,42.0,2.0,8.0,16.0,16.0,16.0,38.0,8.0
2015-05-23,Snacks,540.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,144.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0
2015-05-23,Breakfast,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-24,Snacks,295.0,5.0,1.5,2.5,1.5,0.0,0.0,280.0,0.0,60.0,1.0,40.0,3.0,4.0,0.0,0.0,4.0
2015-05-24,Breakfast,450.0,9.0,7.5,0.0,0.0,0.0,0.0,510.0,0.0,93.0,0.0,63.0,3.0,0.0,0.0,12.0,6.0
2015-05-24,Dinner,666.1,24.5,10.0,0.5,2.5,0.0,50.0,1123.7,562.7,86.5,10.8,8.3,27.3,49.8,76.2,46.7,32.1
2015-05-24,Lunch,380.0,23.0,4.5,0.0,0.0,0.0,335.0,480.0,0.0,27.0,2.0,5.0,16.0,8.0,0.0,16.0,16.0
2015-05-25,Dinner,1460.8,66.7,21.9,9.9,19.4,0.0,276.3,1227.8,2278.5,117.4,15.8,23.0,105.8,183.5,128.0,46.1,75.4
2015-05-25,Breakfast,265.0,16.0,3.5,0.0,0.0,0.0,25.0,485.0,0.0,39.0,1.0,10.0,20.0,8.0,8.0,19.0,4.0
2015-05-25,Lunch,530.0,23.0,4.5,0.0,0.0,0.0,335.0,535.0,0.0,67.0,2.0,45.0,16.0,8.0,0.0,16.0,16.0
2015-05-26,Breakfast,425.0,24.5,6.1,0.6,6.3,0.0,210.0,142.5,580.0,24.7,0.0,8.5,58.1,0.5,0.0,1.5,19.5
2015-05-26,Dinner,218.4,1.6,0.3,0.6,0.6,0.0,0.0,2.0,154.0,45.8,3.5,0.0,4.5,0.0,0.0,2.0,5.7
2015-05-26,Lunch,556.4,22.0,8.0,6.4,5.6,0.2,128.0,684.5,428.1,79.1,2.6,74.3,17.0,207.3,13.1,27.7,9.5
2015-05-26,Snacks,244.0,10.0,3.5,0.0,0.0,0.0,25.0,492.5,0.0,27.5,1.0,10.5,8.0,8.0,8.0,19.0,4.0
2015-05-27,Snacks,260.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
2015-05-27,Dinner,1308.1,29.6,3.6,4.1,16.9,0.0,90.0,3962.2,729.6,202.5,16.6,11.5,62.9,32.6,90.7,17.3,58.6
2015-05-27,Breakfast,370.0,8.3,4.8,0.0,0.0,0.0,25.0,416.3,60.0,65.0,6.0,39.0,12.0,32.5,55.0,37.5,50.0
2015-05-28,Dinner,665.8,19.2,6.5,0.6,1.6,0.0,25.0,290.6,154.0,116.0,5.0,41.0,10.0,5.2,0.0,11.1,6.1
2015-05-28,Breakfast,190.0,9.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,48.0,1.0,12.0,20.0,0.0,0.0,6.0,8.0
